phi.hat,X,mBIC,t.BIC,dBIC,X.1,mMBIC,t.MBIC,dMBIC,X.2,mMDL,t.MDL,dMDL,X.3,mBS,t.BS,dBS,X.4,mWBS,t.WBS,dWBS
0.048359841,BIC,3,"126, 252, 376",0.002,MBIC,3,"126, 252, 376",0.002,MDL,7,"2, 3, 4, 126, 129, 253, 377",4.006,BS,3,"124, 374, 250",0.01,WBS,3,"250, 374, 124",0.01
-0.007016412,BIC,3,"125, 251, 380",0.01,MBIC,3,"124, 251, 376",0.004,MDL,3,"125, 251, 376",0.002,BS,3,"114, 249, 381",0.038,WBS,3,"123, 381, 249",0.02
-0.055682156,BIC,3,"125, 249, 375",0.008,MBIC,3,"125, 254, 373",0.014,MDL,3,"125, 254, 375",0.01,BS,3,"252, 109, 386",0.056,WBS,3,"123, 252, 373",0.014
0.052963599,BIC,3,"127, 244, 395",0.054,MBIC,3,"126, 244, 395",0.052,MDL,3,"131, 244, 395",0.062,BS,3,"125, 393, 248",0.042,WBS,3,"242, 393, 125",0.054
0.043442801,BIC,3,"125, 256, 380",0.02,MBIC,3,"125, 256, 379",0.018,MDL,3,"125, 256, 379",0.018,BS,3,"377, 123, 250",0.01,WBS,3,"123, 254, 377",0.014
0.076879775,BIC,3,"126, 246, 376",0.01,MBIC,3,"126, 246, 376",0.01,MDL,3,"126, 246, 376",0.01,BS,3,"124, 374, 260",0.026,WBS,3,"374, 244, 124",0.022
-0.026394399,BIC,3,"138, 250, 369",0.04,MBIC,3,"138, 250, 369",0.04,MDL,3,"138, 250, 369",0.04,BS,3,"136, 374, 248",0.03,WBS,3,"248, 367, 136",0.044
0.035311612,BIC,3,"126, 249, 375",0.006,MBIC,3,"126, 249, 376",0.004,MDL,3,"127, 249, 374",0.01,BS,3,"373, 247, 124",0.018,WBS,3,"124, 373, 247",0.018
0.101148477,BIC,3,"126, 252, 381",0.012,MBIC,3,"126, 252, 379",0.008,MDL,3,"126, 252, 381",0.012,BS,0,NA,3,WBS,3,"250, 124, 377",0.008
0.008039389,BIC,3,"129, 251, 376",0.006,MBIC,3,"129, 251, 378",0.01,MDL,3,"129, 251, 378",0.01,BS,1,127,2.002,WBS,3,"127, 376, 249",0.006
-0.005937326,BIC,3,"125, 251, 378",0.006,MBIC,3,"126, 251, 384",0.016,MDL,3,"116, 247, 384",0.044,BS,3,"124, 382, 249",0.02,WBS,3,"249, 382, 124",0.02
0.016800111,BIC,3,"125, 250, 377",0.006,MBIC,3,"121, 250, 377",0.014,MDL,3,"125, 261, 377",0.024,BS,3,"375, 123, 258",0.022,WBS,3,"375, 248, 123",0.014
-0.000609587,BIC,3,"126, 245, 377",0.014,MBIC,3,"125, 245, 376",0.014,MDL,3,"127, 245, 376",0.014,BS,1,110,2.032,WBS,3,"125, 374, 243",0.022
-0.056050699,BIC,3,"125, 252, 377",0.006,MBIC,3,"122, 252, 380",0.018,MDL,3,"122, 252, 380",0.018,BS,3,"376, 120, 249",0.016,WBS,3,"120, 250, 376",0.014
0.07019794,BIC,3,"126, 251, 381",0.01,MBIC,3,"126, 265, 378",0.032,MDL,3,"126, 265, 378",0.032,BS,2,"382, 263",1.238,WBS,4,"376, 263, 153, 300",1.078
-0.020368766,BIC,3,"123, 249, 375",0.012,MBIC,3,"123, 249, 375",0.012,MDL,3,"120, 251, 375",0.014,BS,3,"101, 247, 375",0.06,WBS,3,"121, 373, 247",0.024
0.089371895,BIC,3,"126, 252, 374",0.006,MBIC,3,"126, 252, 374",0.006,MDL,3,"125, 252, 374",0.008,BS,1,124,2.004,WBS,3,"124, 372, 250",0.014
-0.148899622,BIC,3,"123, 275, 375",0.056,MBIC,3,"120, 275, 373",0.066,MDL,5,"120, 276, 336, 337, 373",2.068,BS,3,"118, 273, 373",0.066,WBS,4,"118, 371, 273, 334",1.07
-0.04340498,BIC,3,"121, 247, 377",0.02,MBIC,3,"121, 247, 377",0.02,MDL,5,"6, 8, 121, 246, 377",2.022,BS,3,"119, 376, 244",0.028,WBS,3,"244, 375, 119",0.03
-0.052312151,BIC,3,"126, 253, 377",0.006,MBIC,3,"125, 252, 373",0.01,MDL,3,"126, 252, 374",0.006,BS,3,"375, 251, 116",0.022,WBS,3,"373, 124, 250",0.012
0.086782598,BIC,3,"126, 246, 379",0.016,MBIC,3,"114, 245, 379",0.042,MDL,3,"126, 246, 379",0.016,BS,1,377,2.002,WBS,3,"377, 244, 124",0.02
0.077148064,BIC,3,"127, 248, 377",0.01,MBIC,3,"127, 248, 376",0.008,MDL,3,"127, 248, 376",0.008,BS,3,"246, 374, 119",0.028,WBS,3,"374, 125, 246",0.016
-0.059527759,BIC,3,"122, 251, 379",0.014,MBIC,3,"121, 251, 379",0.016,MDL,8,"2, 9, 15, 18, 20, 121, 251, 380",5.018,BS,3,"415, 249, 80",0.174,WBS,3,"377, 249, 119",0.02
-0.048886171,BIC,3,"127, 274, 371",0.058,MBIC,3,"125, 274, 371",0.058,MDL,5,"21, 22, 125, 274, 371",2.058,BS,3,"123, 272, 369",0.062,WBS,3,"356, 123, 272",0.088
0.019290142,BIC,3,"127, 252, 369",0.018,MBIC,3,"127, 251, 369",0.016,MDL,3,"127, 254, 369",0.022,BS,3,"125, 374, 250",0.008,WBS,3,"250, 367, 125",0.022
0.045965005,BIC,3,"123, 251, 375",0.008,MBIC,3,"126, 251, 375",0.002,MDL,3,"126, 251, 375",0.002,BS,3,"373, 124, 226",0.06,WBS,3,"249, 124, 373",0.014
-0.021649647,BIC,3,"125, 251, 380",0.01,MBIC,3,"125, 251, 382",0.014,MDL,3,"125, 251, 380",0.01,BS,3,"123, 378, 236",0.04,WBS,3,"123, 249, 378",0.014
0.020564108,BIC,3,"124, 249, 378",0.012,MBIC,3,"124, 260, 377",0.024,MDL,3,"123, 260, 377",0.026,BS,3,"122, 246, 376",0.018,WBS,3,"122, 246, 376",0.018
0.000736101,BIC,3,"129, 251, 376",0.006,MBIC,3,"129, 251, 376",0.006,MDL,4,"129, 131, 251, 376",1.006,BS,3,"249, 127, 374",0.01,WBS,3,"249, 374, 127",0.01
